ldef	mean_chipenrich_caught	prop_covered	n
dnase_thurman_fantom.1000.P2P_E_fantom	0.366866837669028	0.252545890289312	297
dnase_thurman_fantom.1000.P2P_E_thurman	0.348359461923225	0.216285884417795	297
dnase_thurman_fantom.1000.P2P_E_thurman_fantom	0.398743551323041	0.330843413342642	297
dnase_thurman_fantom.1000.P2P_fantom	0.319389083099863	0.164227252690952	297
dnase_thurman_fantom.1000.P2P_thurman	0.290024682590628	0.126488851336828	297
dnase_thurman_fantom.1000.P2P_thurman_fantom	0.362955638742917	0.248612526375802	297
dnase_thurman_fantom.1000.thurman	0.232973016075664	0.0948518295453236	297
dnase_thurman_fantom.1000.thurman_fantom	0.341776241359437	0.219279882226007	297
dnase_thurman.0.E	0.117076097300714	0.0266777945279871	297
dnase_thurman.0.E_fantom	0.199737042679073	0.0407781989089456	297
dnase_thurman.0.E_thurman	0.236945361309738	0.0496848767496538	297
dnase_thurman.0.E_thurman_fantom	0.270188979244026	0.0630425336198355	297
dnase_thurman.0.fantom	0.115669969632529	0.0152044030380505	297
dnase_thurman.0.nearest_tss_500000	0.367060857514561	0.0781454744327033	297
dnase_thurman.0.P2P	0.102425866253066	0.00501937145122525	297
dnase_thurman.0.P2P_E	0.187452815776408	0.0309341293182983	297
dnase_thurman.0.P2P_E_fantom	0.238660650139592	0.0448978677360436	297
dnase_thurman.0.P2P_E_thurman	0.266852225627437	0.0536210645856981	297
dnase_thurman.0.P2P_E_thurman_fantom	0.289432407332764	0.066858547432852	297
dnase_thurman.0.P2P_fantom	0.173918830882686	0.0200476430618821	297
dnase_thurman.0.P2P_thurman	0.213149848522274	0.0295054603270197	297
dnase_thurman.0.P2P_thurman_fantom	0.245581122087138	0.0437153564735924	297
dnase_thurman.0.thurman	0.169325006408544	0.0249155790021768	297
dnase_thurman.0.thurman_fantom	0.216215053931227	0.0392785038404101	297
dnase_thurman.1000.E	0.133330034262046	0.100200473206786	297
dnase_thurman.1000.E_fantom	0.339982476050846	0.22332026220823	297
dnase_thurman.1000.E_thurman	0.305036936109567	0.186580761913766	297
dnase_thurman.1000.E_thurman_fantom	0.38352000350203	0.30298822466006	297
dnase_thurman.1000.fantom	0.281816049465342	0.132028980979545	297
dnase_thurman.1000.nearest_tss_500000	0.46005223483223	0.301330968475123	297
dnase_thurman.1000.P2P	0.163509732133728	0.0349726890301612	297
dnase_thurman.1000.P2P_E	0.256204738468442	0.131220883986193	297
dnase_thurman.1000.P2P_E_fantom	0.367027259498691	0.25198048685809	297
dnase_thurman.1000.P2P_E_thurman	0.348204137514668	0.215070401227058	297
